Year,State,Flyway,Zone,American Black Duck,American Coot,American Wigeon,Blue-winged and Cinnamon Teal (not speciated),Brant,Bufflehead,Canada Goose (not speciated),Canvasback,Eider (not speciated),Emperor Goose,Gadwall,Goldeneye (not speciated),Greater White-fronted Goose,Green-winged Teal,Harlequin Duck,Light Geese (not differentiated by color phase),Long-tailed Duck,Mallard,Merganser (not speciated),Mexican-like Duck,Mottled Duck,Northern Pintail,Northern Shoveler,Redhead,Ring-necked Duck,Ruddy Duck,Sandhill Crane,Scaup (not speciated),Scoters,Swan (not differentiated),Unidentified Ducks,Whistling Duck,Wood Duck,Miscellaneous Ducks
2016,MI,MF,MI:7,1772,0,0,0,0,1738,10525,61980,0,0,300,5665,0,0,0,0,0,6802,2854,0,0,0,0,51990,0,0,0,7630,0,4137,0,0,0,0
2016,MN,MF,MN:1,1,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,234,46,0,0,0,0,0,0,0,0,0,0,634,0,0,0,0
2016,MN,MF,MN:2,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,MN,MF,MN:3,3,11,0,0,0,0,1256,1050,0,0,1,392,0,0,0,0,0,5662,1546,0,0,5,0,0,1,0,0,3862,0,371,0,0,0,0
2016,MN,MF,MN:4,5,38,0,0,0,0,2270,0,0,0,103,367,0,0,0,0,0,11243,43,0,0,0,7,1,70,0,0,2,0,1023,1,0,0,0
2016,MO,MF,MO:1,0,400,0,0,0,7,8774,1,0,0,10,18,145,5,0,6028,0,26887,5,0,0,10,0,0,6,7,0,3,0,586,0,0,0,0
2016,MO,MF,MO:2,0,492,19,0,0,22,61239,113,0,0,948,165,1400,1650,0,74754,0,112943,228,0,0,10,30,115,1775,59,0,575,0,214,3210,0,2,0
2016,MO,MF,MO:3,0,432,62,0,0,17,14480,134,0,0,2081,179,121,421,0,50751,0,192878,407,0,0,282,22,21,176,2,2,238,0,31,4282,0,8,0
2016,MO,MF,MO:4,0,0,2,0,0,0,14656,6,0,0,903,0,558,150,0,25,0,24191,34,0,0,450,142,4,0,0,0,0,0,24,110607,0,0,0
2016,MO,MF,MO:5,9,7620,1317,25,0,32,2703,61,0,0,24408,15,27555,6096,0,373100,0,190991,77,0,0,9630,9775,23,10387,39,0,0,0,6,12688,0,722,0
2016,MS,MF,MS:1,0,15000,1309,0,0,197,460,1727,0,0,59004,0,18210,28398,0,82500,0,213759,19090,0,0,10087,107848,364,6407,39740,13,41890,0,0,0,0,3513,0
2016,MS,MF,MS:2,0,29,75,0,0,61,278,0,0,0,230,0,110,97,0,0,0,1805,45,0,0,247,120,0,332,0,0,0,0,0,796,0,770,0
2016,OH,MF,OH:1,4223,315,77,4,0,205,74094,1,0,0,288,526,2973,2,0,10,0,41567,21738,0,0,5,50,1888,48,1196,0,9758,0,2716,105,0,2,0
2016,OH,MF,OH:2,126,54,1,0,0,29,14212,7,0,0,101,81,0,5,0,0,3,3822,658,0,0,7,3,15,57,0,0,51,0,115,48,3,72,0
2016,OH,MF,OH:3,1846,625,19,3,0,60,37889,19,0,0,255,7,6,2,0,5,0,22496,509,0,0,2,29,508,489,366,0,223,0,418,454,0,2,0
2016,TN,MF,TN:1,79,800,8972,0,0,245,4178,793,0,0,93237,160,13319,25449,0,58150,0,477328,0,0,0,31736,10938,0,16872,445,5407,2445,0,0,20000,0,735,0
2016,TN,MF,TN:2,1598,1860,3655,0,0,216,3945,1550,0,0,23533,74,1350,2755,0,8,0,93261,62,0,0,10066,1085,0,15590,270,54,700,0,0,0,0,323,0
2016,TN,MF,TN:3,1787,2360,80,2,0,540,1876,25,0,0,1624,490,0,41,0,31,0,12206,8,0,0,939,15,2,401,68,10848,33,0,0,47,0,2,0
2016,WI,MF,WI:1,27,0,0,0,0,0,6522,0,0,0,0,173,0,0,0,0,0,1535,121,0,0,0,0,0,0,0,0,42,0,517,0,0,2,0
2016,WI,MF,WI:2,10,0,500,0,0,6,11992,23709,0,0,674,1563,0,0,0,0,0,8515,6386,0,0,0,0,0,2,0,0,10131,0,6601,200,0,1,0
2016,WI,MF,WI:3,18,4829,0,0,0,2394,32861,0,0,0,49,5437,0,1,0,0,0,10709,6670,0,0,0,271,2,2,0,6,12,0,276,24,0,1,0
2016,WI,MF,WI:4,278,51,3,0,0,301,8592,33,0,0,2,26939,0,0,0,1,2601,11793,424,0,0,0,1,8,1,1,2,6310,0,340,20,0,0,0
2015,AL,MF,AL:1,413,31228,8212,22,0,671,576,1918,0,0,23635,440,300,892,0,903,0,20071,274,0,0,3554,1817,1815,11143,120,15611,1118,0,1,908,0,51,0
2015,AL,MF,AL:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,AL,MF,AL:3,0,5250,0,0,0,203,48,0,0,0,2348,0,0,50,0,0,0,128,0,0,30,0,0,70,0,0,0,863,0,0,0,0,0,0
2015,AL,MF,AL:4,0,800,500,400,0,0,0,0,0,0,200,0,0,100,0,0,0,700,50,0,0,0,0,0,400,0,0,0,0,0,500,0,900,0
2015,AR,MF,AR:0,0,0,0,0,0,6773,6935,7495,0,0,76520,0,183182,14181,0,0,0,925561,86,0,0,33029,16228,0,23307,0,0,1636,0,874,122749,0,516,0
2015,AR,MF,AR:1,0,0,533,0,0,27,981,89,0,0,21685,0,100,2565,0,0,0,46127,132,0,0,1755,6029,0,4588,71,0,945,0,0,0,0,26,0
2015,IA,MF,IA:1,0,0,0,0,0,0,3475,3,0,0,5,1680,0,0,0,0,0,260,1005,0,0,0,0,3,50,0,0,0,0,51,0,0,0,0
2015,IA,MF,IA:2,0,70,0,0,0,0,31961,10,0,0,0,28,0,10,0,0,0,21794,32,0,0,0,0,0,0,0,0,0,0,87,7,0,0,0
2015,IA,MF,IA:3,0,0,0,0,0,7,87816,1,0,0,12,368,2,0,1,0,0,9146,319,0,0,0,0,4,0,0,0,16,0,198,45,0,0,0
2015,IA,MF,IA:4,0,0,0,0,0,0,23915,0,0,0,0,0,0,0,0,0,0,2916,3,0,0,0,0,0,0,1,0,0,0,20,0,0,0,0
2015,IA,MF,IA:5,0,0,0,0,0,0,17730,5,0,0,0,0,0,0,0,0,0,2785,0,0,0,0,0,10,0,0,0,1,0,289,0,0,0,0
2015,IL,MF,IL:1,0,0,0,0,0,0,2630,39860,0,0,0,320,13050,0,0,1020,0,193795,717,0,0,7000,0,0,4605,0,0,30,0,0,0,0,0,0
2015,IL,MF,IL:2,270,50,0,0,0,415,81954,5,0,0,101,11599,31700,0,0,2185,0,70745,735,0,0,0,0,0,7,0,0,20,0,200,370,0,0,0
2015,IL,MF,IL:3,592,1600,406,0,0,2892,17750,882,0,0,9365,2582,16175,185,0,171000,0,74182,13,0,0,2146,2,152,3107,19,0,2959,0,420,0,0,0,0
2015,IL,MF,IL:4,10,0,0,0,0,380,3115,0,0,0,0,337,0,0,0,0,0,480,235,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
2015,IL,MF,IL:5,0,0,183,0,0,0,2200,0,0,0,3405,0,13300,0,0,30400,0,21249,0,0,0,183,0,0,622,0,0,458,0,281,0,0,0,0
2015,IN,MF,IN:1,4,6,2,0,0,12,3124,0,0,0,1,55,0,0,0,0,1,627,290,0,0,0,0,43,0,0,750,500,0,12,0,0,0,0
2015,IN,MF,IN:2,240,1571,25,0,0,178,32208,42,0,0,859,198,11251,10,0,17016,0,16529,189,0,0,17,27,226,282,10,171,162,0,62,816,0,0,0
2015,IN,MF,IN:3,0,22,0,0,0,12,146,8,0,0,45,16,0,0,0,0,0,43,4,0,0,0,0,5,12,0,0,42,1,0,0,0,0,0
2015,IN,MF,IN:4,38,0,0,0,0,0,0,0,0,0,0,16,40,0,0,0,0,1932,134,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0
2015,KY,MF,KY:1,116,6600,225,0,0,75,2240,260,0,0,955,280,5250,15,0,0,0,105649,0,0,0,70,150,25,6015,0,0,2390,0,150,0,0,28,0
2015,KY,MF,KY:2,525,220,0,0,0,42,1156,7,0,0,14,8,0,0,0,1,0,2478,92,0,0,0,0,30,8,1,0,0,0,0,3,0,0,0
2015,KY,MF,KY:3,218,210,0,0,0,137,850,0,0,0,26,0,0,0,0,0,8,2029,12,0,0,0,2,0,0,0,250,200,3,0,82,0,0,0
2015,LA,MF,LA:1,0,8947,129,5,0,26,0,1451,0,0,11148,0,250,5759,0,2500,0,9591,28,0,0,2094,2186,0,3757,92,0,980,0,0,0,0,67,0
2015,LA,MF,LA:2,0,2750,209,772,0,0,6,103350,0,0,40453,0,30475,70947,0,137685,0,134506,25,0,0,27628,24841,10,29867,0,6,0,0,0,0,15,2786,0
2015,LA,MF,LA:3,0,550899,6107,15023,0,1015,0,1860,0,0,493157,0,26979,400051,0,123346,0,89610,875,0,18964,31451,178060,0,307195,105,25,74377,0,0,0,945,1435,0
2015,LA,MF,LA:4,0,1386138,38240,4653,0,3363,0,182332,0,0,716351,504,1146,164895,0,23730,0,6907,8136,0,22537,77498,11923,0,226097,144,0,268059,0,0,0,0,576,0
2015,MI,MF,MI:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,24,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0
2015,MI,MF,MI:2,12,0,0,0,0,0,70,0,0,0,0,254,0,0,0,0,0,726,22,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0
2015,MI,MF,MI:3,79,0,0,0,0,99,872,0,0,0,47,759,0,0,0,0,845,1286,311,0,0,0,0,322,0,0,0,212,86,345,134,0,0,0
2015,MI,MF,MI:4,25,0,0,0,0,0,195,0,0,0,0,2605,0,0,0,0,0,1053,465,0,0,0,0,0,0,0,0,25,0,88,0,0,0,0
2015,MI,MF,MI:5,513,0,0,0,0,0,16858,0,0,0,0,284,0,0,0,0,0,10466,217,0,0,0,0,130,0,0,0,50,0,374,0,0,0,0
2015,MI,MF,MI:6,31,1,0,0,0,1,9261,0,0,0,0,7,0,0,0,0,0,1368,16,0,0,0,0,0,0,0,0,0,0,138,20,0,0,0
2015,MI,MF,MI:7,1516,50,0,0,0,1382,15529,117460,0,0,500,9005,0,0,0,0,152,15973,6847,0,0,0,0,16720,0,0,0,1550,0,4215,0,0,0,0
2015,MN,MF,MN:1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
2015,MN,MF,MN:2,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2015,MN,MF,MN:3,2,0,0,0,0,0,1728,0,0,0,0,1027,0,0,0,0,0,6138,2142,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0
2015,MN,MF,MN:4,2,15,52,0,0,1,7796,0,0,0,0,898,0,1,0,0,0,9290,114,0,0,0,0,2,0,0,0,10,0,1643,10,0,0,0
2015,MO,MF,MO:1,0,0,0,0,0,0,11004,0,0,0,0,81,0,0,0,50450,0,23911,2,0,0,0,0,8,0,0,0,0,0,134,0,0,0,0
2015,MO,MF,MO:2,0,5,8,0,0,26,75511,44,0,0,67,253,252,265,0,76876,0,159521,266,0,0,0,1,49,11,25,0,77,0,489,209,0,0,0
2015,MO,MF,MO:3,0,241,7,0,0,20,30817,282,0,0,5944,1181,0,144,0,60156,0,168936,451,0,0,1,104,12,78,0,0,172,0,130,729,0,109,0
2015,MO,MF,MO:4,0,34,15,14,0,172,11236,17,0,0,298,115,1646,15,0,560,0,1650,81,0,0,2,49,7,2,2,0,18,0,198,418,0,9,0
2015,MO,MF,MO:5,42,464,1539,5,0,13,3194,18,0,0,19798,0,19026,1262,0,89685,0,197943,1066,0,0,11987,23034,3,11407,73,0,51,0,36,0,0,4800,0
2015,MS,MF,MS:1,0,21053,5737,0,0,7256,560,2812,0,0,78035,0,15000,49607,0,174400,0,159979,4514,0,0,63731,215425,2781,2979,40489,25,28294,0,0,0,0,5520,0
2015,MS,MF,MS:2,0,79,25,15,0,205,303,10,0,0,162,0,100,410,0,3,0,4564,1426,0,0,995,137,19,1472,0,0,36,0,0,1145,0,1685,0
2015,OH,MF,OH:1,11973,57,56,0,0,2062,55650,12,0,0,467,794,7,0,0,2,0,45285,23367,0,0,0,15,17,44,22,70,43830,3,4162,100,0,0,0
